gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage
22400061,1610612738,Boston,Celtics,BOS,celtics,240:00,17.14,22,40,59,369,9,1,257,33,10,23,0.435,38,72,0.528,0.505,15,20,0.75
22400061,1610612752,New York,Knicks,NYK,knicks,240:00,17.99,8,46,54,396,0,1,289,20,23,32,0.719,20,46,0.435,0.551,14,21,0.667
22400071,1610612746,LA,Clippers,LAC,clippers,265:00,19.71,39,56,90,411,1,4,279,27,13,37,0.351,29,55,0.527,0.457,12,16,0.75
22400071,1610612756,Phoenix,Suns,PHX,suns,265:00,19.8,12,64,70,451,5,4,321,25,15,27,0.556,23,51,0.451,0.487,17,29,0.586
22400070,1610612762,Utah,Jazz,UTA,jazz,240:00,18.82,30,54,79,394,2,2,259,21,20,45,0.444,20,40,0.5,0.471,20,28,0.714
22400070,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,19.07,34,55,85,362,3,5,239,28,17,32,0.531,26,59,0.441,0.473,22,31,0.71
22400068,1610612745,Houston,Rockets,HOU,rockets,240:00,17.98,36,46,81,382,2,1,254,19,14,45,0.311,24,58,0.414,0.369,11,18,0.611
22400068,1610612766,Charlotte,Hornets,CHA,hornets,240:00,18.24,32,78,107,372,2,3,249,20,15,33,0.455,23,52,0.442,0.447,18,40,0.45
22400069,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,19.5,27,62,83,450,3,2,327,29,20,39,0.513,25,58,0.431,0.464,22,34,0.647
22400069,1610612741,Chicago,Bulls,CHI,bulls,240:00,19.06,24,62,86,421,2,2,293,26,21,35,0.6,21,51,0.412,0.488,24,31,0.774
22400065,1610612748,Miami,Heat,MIA,heat,240:00,18.96,33,75,105,411,1,5,294,24,15,36,0.417,17,46,0.37,0.39,16,27,0.593
22400065,1610612753,Orlando,Magic,ORL,magic,240:00,18.51,43,60,101,407,5,1,275,28,14,34,0.412,27,62,0.435,0.427,14,23,0.609
22400072,1610612757,Portland,Trail Blazers,POR,blazers,240:00,19.48,34,55,87,463,2,1,328,21,16,40,0.4,20,52,0.385,0.391,27,34,0.794
22400072,1610612744,Golden State,Warriors,GSW,warriors,240:00,19.7,25,71,94,483,5,4,351,38,16,28,0.571,32,65,0.492,0.516,18,32,0.563
22400067,1610612761,Toronto,Raptors,TOR,raptors,240:00,19.36,37,50,83,442,3,3,313,25,13,34,0.382,23,52,0.442,0.419,25,35,0.714
22400067,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,18.66,21,69,89,396,3,3,272,29,31,49,0.633,20,38,0.526,0.586,12,28,0.429
22400064,1610612737,Atlanta,Hawks,ATL,hawks,240:00,18.66,25,60,80,412,3,3,281,25,20,37,0.541,19,43,0.442,0.488,13,20,0.65
22400064,1610612751,Brooklyn,Nets,BKN,nets,240:00,19.58,31,55,82,462,1,2,335,21,14,31,0.452,26,60,0.433,0.44,23,33,0.697
22400063,1610612765,Detroit,Pistons,DET,pistons,240:00,18.77,31,50,80,398,1,5,272,22,18,34,0.529,20,53,0.377,0.432,15,17,0.882
22400063,1610612754,Indiana,Pacers,IND,pacers,240:00,18.98,22,62,82,435,8,5,318,32,9,16,0.563,33,67,0.493,0.506,15,25,0.6
22400066,1610612755,Philadelphia,76ers,PHI,sixers,240:00,18.79,34,41,71,433,5,3,301,18,20,42,0.476,21,56,0.375,0.418,20,26,0.769
22400066,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,18.2,10,62,71,375,2,2,253,27,26,36,0.722,17,44,0.386,0.538,20,36,0.556
22400076,1610612758,Sacramento,Kings,SAC,kings,240:00,18.53,18,57,73,363,4,4,249,21,14,30,0.467,25,53,0.472,0.463,11,15,0.733
22400076,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,18.73,22,53,73,431,2,0,313,24,14,24,0.583,27,62,0.435,0.477,15,19,0.789
22400074,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,18.22,39,56,93,419,0,6,289,27,15,41,0.366,27,61,0.443,0.412,16,24,0.667
22400074,1610612759,San Antonio,Spurs,SAS,spurs,240:00,18.65,27,69,94,450,3,6,324,30,17,34,0.5,22,52,0.423,0.453,15,29,0.517
22400073,1610612764,Washington,Wizards,WAS,wizards,240:00,19.09,22,50,69,447,5,2,318,27,23,40,0.575,18,55,0.327,0.432,20,32,0.625
22400073,1610612738,Boston,Celtics,BOS,celtics,240:00,18.21,26,69,94,365,3,3,239,21,14,29,0.483,28,61,0.459,0.467,24,34,0.706
22400075,1610612743,Denver,Nuggets,DEN,nuggets,240:00,17.45,36,71,106,451,3,3,322,29,19,47,0.404,16,50,0.32,0.357,21,30,0.7
22400075,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,18.21,32,70,100,404,3,1,281,23,18,36,0.5,25,65,0.385,0.426,23,43,0.535
22400084,1610612762,Utah,Jazz,UTA,jazz,240:00,18.8,26,46,71,428,3,2,298,18,14,34,0.412,15,58,0.259,0.315,22,38,0.579
22400084,1610612744,Golden State,Warriors,GSW,warriors,240:00,18.56,37,70,105,480,6,0,347,35,19,42,0.452,32,64,0.5,0.481,13,25,0.52
22400086,1610612757,Portland,Trail Blazers,POR,blazers,240:00,18.67,30,64,90,415,1,1,283,26,13,36,0.361,24,54,0.444,0.411,10,22,0.455
22400086,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,18.58,28,64,91,408,6,3,286,25,12,31,0.387,24,55,0.436,0.419,18,32,0.563
22400085,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,17.96,22,48,70,384,5,2,268,33,14,27,0.519,26,48,0.542,0.533,14,22,0.636
22400085,1610612756,Phoenix,Suns,PHX,suns,240:00,18.17,19,44,61,420,6,2,305,35,16,31,0.516,26,51,0.51,0.512,23,33,0.697
22400083,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,18.99,18,55,73,417,2,2,293,24,16,31,0.516,30,62,0.484,0.495,9,16,0.563
22400083,1610612741,Chicago,Bulls,CHI,bulls,240:00,19.32,19,52,68,432,5,2,306,30,13,26,0.5,33,69,0.478,0.479,22,27,0.815
22400082,1610612745,Houston,Rockets,HOU,rockets,240:00,19.2,44,68,105,370,0,3,231,20,18,43,0.419,25,55,0.455,0.439,18,29,0.621
22400082,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,19.93,33,61,90,419,1,2,280,24,19,40,0.475,19,51,0.373,0.418,20,40,0.5
22400078,1610612761,Toronto,Raptors,TOR,raptors,240:00,19.47,43,61,97,474,3,5,341,25,22,41,0.537,13,34,0.382,0.461,11,28,0.393
22400078,1610612755,Philadelphia,76ers,PHI,sixers,240:00,18.87,29,46,72,404,1,4,282,19,15,33,0.455,14,42,0.333,0.382,22,35,0.629
22400079,1610612737,Atlanta,Hawks,ATL,hawks,240:00,18.3,16,66,81,372,1,4,252,25,18,30,0.6,21,51,0.412,0.481,14,25,0.56
22400079,1610612766,Charlotte,Hornets,CHA,hornets,240:00,19.21,53,48,98,435,3,2,294,22,11,31,0.355,26,65,0.4,0.385,14,20,0.7
22400080,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,18.46,19,53,68,379,1,2,261,28,13,28,0.464,29,54,0.537,0.512,11,19,0.579
22400080,1610612765,Detroit,Pistons,DET,pistons,240:00,18.77,25,52,74,385,4,2,267,25,15,29,0.517,23,52,0.442,0.469,19,27,0.704
22400081,1610612752,New York,Knicks,NYK,knicks,240:00,18.31,33,45,75,389,1,2,271,19,22,34,0.647,22,50,0.44,0.524,24,28,0.857
22400081,1610612754,Indiana,Pacers,IND,pacers,240:00,18.61,19,44,62,456,8,4,335,28,23,34,0.676,18,49,0.367,0.494,16,26,0.615
22400088,1610612766,Charlotte,Hornets,CHA,hornets,240:00,18.7,31,57,85,370,0,6,245,20,17,33,0.515,22,56,0.393,0.438,16,27,0.593
22400088,1610612748,Miami,Heat,MIA,heat,240:00,18.76,34,62,93,388,3,2,264,33,14,32,0.438,26,54,0.481,0.465,14,23,0.609
22400095,1610612756,Phoenix,Suns,PHX,suns,240:00,17.67,14,58,71,430,7,2,311,26,14,28,0.5,22,52,0.423,0.45,13,22,0.591
22400095,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,17.81,31,48,78,348,2,1,228,22,11,26,0.423,26,67,0.388,0.398,10,15,0.667
22400096,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,18.27,29,53,81,437,5,1,307,32,19,40,0.475,29,52,0.558,0.522,21,25,0.84
22400096,1610612758,Sacramento,Kings,SAC,kings,240:00,18.85,21,52,72,398,4,3,282,32,21,27,0.778,24,61,0.393,0.511,21,35,0.6
22400091,1610612741,Chicago,Bulls,CHI,bulls,240:00,19.37,29,70,97,468,5,3,333,23,11,25,0.44,21,67,0.313,0.348,27,40,0.675
22400091,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,19.85,26,78,101,418,4,2,283,21,23,42,0.548,22,65,0.338,0.421,7,19,0.368
22400094,1610612759,San Antonio,Spurs,SAS,spurs,240:00,0.0,0,0,0,0,0,0,0,23,0,0,0.0,0,0,0.0,0.494,0,0,0.0
22400094,1610612745,Houston,Rockets,HOU,rockets,240:00,0.0,0,0,0,0,0,0,0,21,0,0,0.0,0,0,0.0,0.413,0,0,0.0
22400092,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,19.61,22,58,76,410,3,1,287,38,16,28,0.571,30,58,0.517,0.535,13,19,0.684
22400092,1610612753,Orlando,Magic,ORL,magic,240:00,18.5,20,48,66,406,4,3,280,21,12,24,0.5,25,63,0.397,0.425,22,25,0.88
22400093,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,18.35,29,53,80,428,4,1,306,29,12,28,0.429,27,55,0.491,0.47,16,30,0.533
22400093,1610612761,Toronto,Raptors,TOR,raptors,240:00,18.9,30,57,84,423,1,2,296,29,16,40,0.4,25,50,0.5,0.456,18,25,0.72
22400090,1610612764,Washington,Wizards,WAS,wizards,240:00,19.72,39,47,84,448,6,3,311,25,17,40,0.425,20,56,0.357,0.385,18,25,0.72
22400090,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,19.34,28,63,87,399,0,6,266,27,16,31,0.516,31,57,0.544,0.534,18,27,0.667
22400089,1610612765,Detroit,Pistons,DET,pistons,240:00,17.86,28,62,90,384,3,3,268,27,12,28,0.429,31,60,0.517,0.489,10,21,0.476
22400089,1610612738,Boston,Celtics,BOS,celtics,240:00,17.22,31,53,82,393,4,2,268,19,11,31,0.355,27,59,0.458,0.422,20,27,0.741
22400087,1610612743,Denver,Nuggets,DEN,nuggets,240:00,17.52,27,47,72,408,2,4,282,20,11,33,0.333,24,54,0.444,0.402,13,18,0.722
22400087,1610612746,LA,Clippers,LAC,clippers,240:00,17.46,21,64,84,460,9,1,338,30,22,35,0.629,18,47,0.383,0.488,11,25,0.44
22400100,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,18.68,24,56,76,364,4,5,239,26,15,25,0.6,29,64,0.453,0.494,16,33,0.485
22400100,1610612737,Atlanta,Hawks,ATL,hawks,240:00,19.03,41,53,89,467,3,4,334,24,19,47,0.404,17,44,0.386,0.396,21,25,0.84
22400101,1610612744,Golden State,Warriors,GSW,warriors,240:00,18.61,24,49,70,414,3,2,286,19,14,32,0.438,23,55,0.418,0.432,21,30,0.7
22400101,1610612746,LA,Clippers,LAC,clippers,240:00,18.24,30,54,80,404,4,0,278,27,21,36,0.583,21,50,0.42,0.467,12,27,0.444
22400099,1610612757,Portland,Trail Blazers,POR,blazers,240:00,18.29,44,58,100,422,2,5,291,25,19,41,0.463,24,52,0.462,0.462,18,24,0.75
22400099,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,18.36,41,52,90,404,2,1,281,24,16,33,0.485,22,55,0.4,0.432,21,40,0.525
22400097,1610612754,Indiana,Pacers,IND,pacers,265:00,21.13,20,74,92,465,5,6,341,28,15,32,0.469,24,51,0.471,0.464,22,33,0.667
22400097,1610612755,Philadelphia,76ers,PHI,sixers,265:00,20.95,40,61,97,432,4,1,286,15,24,39,0.615,18,59,0.305,0.429,19,28,0.679
22400098,1610612751,Brooklyn,Nets,BKN,nets,240:00,18.8,28,49,75,427,4,3,305,23,15,34,0.441,24,57,0.421,0.429,11,15,0.733
22400098,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,18.17,15,53,66,394,2,2,275,20,14,25,0.56,19,49,0.388,0.446,16,28,0.571
22400111,1610612756,Phoenix,Suns,PHX,suns,240:00,17.64,26,57,81,398,9,2,277,21,12,29,0.414,28,58,0.483,0.46,18,31,0.581
22400111,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,17.58,28,55,80,414,2,0,291,25,19,39,0.487,20,52,0.385,0.415,10,19,0.526
22400109,1610612759,San Antonio,Spurs,SAS,spurs,240:00,17.85,34,56,87,388,3,2,264,22,15,34,0.441,22,53,0.415,0.425,11,26,0.423
22400109,1610612745,Houston,Rockets,HOU,rockets,240:00,17.74,33,58,89,405,1,2,284,20,10,26,0.385,25,59,0.424,0.412,18,34,0.529
22400110,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,17.82,34,72,103,347,6,0,222,27,18,35,0.514,25,60,0.417,0.453,17,37,0.459
22400110,1610612762,Utah,Jazz,UTA,jazz,240:00,18.67,34,61,95,438,0,4,305,24,13,39,0.333,21,53,0.396,0.37,20,25,0.8
22400107,1610612761,Toronto,Raptors,TOR,raptors,265:00,21.39,37,65,99,537,1,3,389,30,27,54,0.5,22,55,0.4,0.45,21,40,0.525
22400107,1610612743,Denver,Nuggets,DEN,nuggets,265:00,20.17,31,62,91,461,5,3,319,29,18,43,0.419,29,53,0.547,0.49,25,42,0.595
22400108,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,19.58,48,76,119,432,9,2,296,37,25,50,0.5,26,61,0.426,0.459,13,24,0.542
22400108,1610612741,Chicago,Bulls,CHI,bulls,240:00,19.16,23,68,91,489,5,2,356,36,14,34,0.412,31,66,0.47,0.45,24,35,0.686
22400103,1610612737,Atlanta,Hawks,ATL,hawks,240:00,19.03,19,54,72,430,3,3,304,32,11,29,0.379,28,52,0.538,0.481,11,21,0.524
22400103,1610612764,Washington,Wizards,WAS,wizards,240:00,19.22,27,48,72,405,1,3,276,24,8,28,0.286,33,63,0.524,0.451,15,21,0.714
22400106,1610612752,New York,Knicks,NYK,knicks,240:00,18.33,29,52,80,415,3,1,288,22,17,40,0.425,23,50,0.46,0.444,17,24,0.708
22400106,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,18.18,20,54,72,368,3,4,250,21,20,39,0.513,19,43,0.442,0.476,16,28,0.571
22400105,1610612748,Miami,Heat,MIA,heat,240:00,18.65,20,57,77,398,2,2,280,24,12,27,0.444,26,61,0.426,0.432,14,31,0.452
22400105,1610612765,Detroit,Pistons,DET,pistons,240:00,18.26,35,63,96,374,1,3,248,14,16,39,0.41,19,52,0.365,0.385,14,24,0.583
22400104,1610612738,Boston,Celtics,BOS,celtics,240:00,17.41,19,54,69,427,4,3,306,24,14,30,0.467,29,57,0.509,0.494,17,24,0.708
22400104,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,17.71,27,49,73,367,0,1,253,18,17,30,0.567,20,52,0.385,0.451,16,24,0.667
22400102,1610612753,Orlando,Magic,ORL,magic,240:00,18.14,29,55,81,394,6,4,275,26,10,25,0.4,29,58,0.5,0.47,13,24,0.542
22400102,1610612754,Indiana,Pacers,IND,pacers,240:00,19.12,33,54,83,435,2,3,308,25,15,32,0.469,26,56,0.464,0.466,14,24,0.583
22400112,1610612758,Sacramento,Kings,SAC,kings,240:00,18.98,18,51,67,426,4,4,306,25,10,23,0.435,27,58,0.466,0.457,19,34,0.559
22400112,1610612757,Portland,Trail Blazers,POR,blazers,240:00,18.74,26,46,71,426,3,1,296,17,20,41,0.488,15,42,0.357,0.422,7,11,0.636
22400062,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,17.42,27,62,85,461,4,5,334,22,21,40,0.525,21,55,0.382,0.442,14,23,0.609
22400062,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,18.11,37,56,91,393,1,1,271,17,10,26,0.385,25,59,0.424,0.412,25,35,0.714
22400077,1610612753,Orlando,Magic,ORL,magic,240:00,17.98,15,56,69,403,5,2,283,28,16,27,0.593,23,48,0.479,0.52,14,24,0.583
22400077,1610612751,Brooklyn,Nets,BKN,nets,240:00,18.61,28,48,73,399,3,1,280,22,12,29,0.414,23,54,0.426,0.422,19,27,0.704
22400116,1610612744,Golden State,Warriors,GSW,warriors,240:00,18.85,31,46,73,478,5,4,362,34,17,40,0.425,29,57,0.509,0.474,11,20,0.55
22400116,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,18.57,17,55,72,412,2,2,291,23,19,37,0.514,21,37,0.568,0.541,18,30,0.6
22400115,1610612762,Utah,Jazz,UTA,jazz,240:00,18.46,28,58,85,421,5,1,293,24,16,30,0.533,19,59,0.322,0.393,21,29,0.724
22400115,1610612758,Sacramento,Kings,SAC,kings,240:00,18.08,22,67,87,397,2,3,280,26,21,33,0.636,27,57,0.474,0.522,12,19,0.632
22400113,1610612751,Brooklyn,Nets,BKN,nets,265:00,21.12,32,59,86,482,7,1,353,37,21,35,0.6,28,61,0.459,0.51,22,37,0.595
22400113,1610612743,Denver,Nuggets,DEN,nuggets,265:00,19.86,26,56,81,410,5,4,286,31,20,41,0.488,26,48,0.542,0.517,20,26,0.769
22400114,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,17.94,23,55,74,406,2,1,286,33,13,22,0.591,26,55,0.473,0.506,13,17,0.765
22400114,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,17.46,25,48,71,348,1,2,229,25,17,35,0.486,28,58,0.483,0.484,12,16,0.75
22400120,1610612755,Philadelphia,76ers,PHI,sixers,240:00,17.59,19,52,69,375,2,2,269,17,14,33,0.424,19,46,0.413,0.418,17,21,0.81
22400120,1610612765,Detroit,Pistons,DET,pistons,240:00,17.48,24,60,80,391,2,4,279,23,19,35,0.543,17,43,0.395,0.462,11,23,0.478
22400117,1610612766,Charlotte,Hornets,CHA,hornets,240:00,19.33,33,49,79,428,5,2,300,31,21,39,0.538,28,55,0.509,0.521,30,39,0.769
22400117,1610612761,Toronto,Raptors,TOR,raptors,240:00,19.59,33,46,76,421,1,6,292,37,25,37,0.676,27,54,0.5,0.571,17,27,0.63
22400119,1610612754,Indiana,Pacers,IND,pacers,265:00,20.67,35,80,113,499,3,7,355,33,17,37,0.459,33,67,0.493,0.481,18,38,0.474
22400119,1610612738,Boston,Celtics,BOS,celtics,265:00,19.69,45,67,110,452,1,4,303,23,12,33,0.364,32,76,0.421,0.404,20,33,0.606
22400122,1610612748,Miami,Heat,MIA,heat,240:00,18.32,19,47,65,372,2,2,263,27,13,27,0.481,24,54,0.444,0.457,13,18,0.722
22400122,1610612752,New York,Knicks,NYK,knicks,240:00,18.03,20,51,69,402,4,0,290,30,15,30,0.5,25,52,0.481,0.488,11,16,0.688
22400118,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,18.69,17,42,57,407,5,1,288,37,26,36,0.722,30,61,0.492,0.577,22,30,0.733
22400118,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,18.33,15,45,59,427,2,2,305,21,24,39,0.615,14,38,0.368,0.494,24,33,0.727
22400121,1610612764,Washington,Wizards,WAS,wizards,240:00,19.07,13,53,66,401,5,5,280,32,17,31,0.548,30,57,0.526,0.534,24,31,0.774
22400121,1610612737,Atlanta,Hawks,ATL,hawks,240:00,18.98,29,53,81,435,3,3,300,28,23,44,0.523,22,51,0.431,0.474,23,30,0.767
22400123,1610612741,Chicago,Bulls,CHI,bulls,240:00,18.34,19,62,80,407,4,4,285,23,15,34,0.441,21,50,0.42,0.429,18,24,0.75
22400123,1610612753,Orlando,Magic,ORL,magic,240:00,17.82,20,60,77,399,3,5,285,25,15,24,0.625,20,62,0.323,0.407,13,23,0.565
22400125,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,18.34,17,52,69,365,6,1,256,28,16,28,0.571,25,61,0.41,0.461,16,30,0.533
22400125,1610612759,San Antonio,Spurs,SAS,spurs,240:00,18.46,27,69,94,453,2,2,328,22,15,33,0.455,20,52,0.385,0.412,18,25,0.72
22400126,1610612744,Golden State,Warriors,GSW,warriors,240:00,18.6,28,75,102,457,5,1,343,32,18,32,0.563,23,55,0.418,0.471,7,19,0.368
22400126,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,18.46,35,51,84,433,3,1,306,24,14,38,0.368,19,52,0.365,0.367,19,29,0.655
22400127,1610612746,LA,Clippers,LAC,clippers,240:00,17.41,28,63,89,413,3,4,291,26,15,31,0.484,26,59,0.441,0.456,17,29,0.586
22400127,1610612757,Portland,Trail Blazers,POR,blazers,240:00,17.95,30,60,84,393,0,0,270,19,19,43,0.442,22,49,0.449,0.446,16,27,0.593
22400124,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,19.13,27,48,73,398,3,3,273,27,23,39,0.59,15,42,0.357,0.469,17,22,0.773
22400124,1610612751,Brooklyn,Nets,BKN,nets,240:00,18.67,20,43,61,427,4,3,308,27,14,23,0.609,27,57,0.474,0.513,22,29,0.759
22400129,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,17.58,26,66,89,335,2,2,218,21,13,36,0.361,26,49,0.531,0.459,20,36,0.556
22400129,1610612745,Houston,Rockets,HOU,rockets,240:00,17.9,44,60,103,380,3,2,257,21,20,41,0.488,20,56,0.357,0.412,16,27,0.593
22400128,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,19.52,22,63,79,387,4,3,262,26,19,29,0.655,24,53,0.453,0.524,21,29,0.724
22400128,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,18.94,19,41,59,418,0,3,291,20,24,35,0.686,17,60,0.283,0.427,22,26,0.846
22400131,1610612746,LA,Clippers,LAC,clippers,240:00,18.14,27,55,78,421,4,1,293,27,16,29,0.552,29,64,0.453,0.484,11,19,0.579
22400131,1610612756,Phoenix,Suns,PHX,suns,240:00,17.87,23,53,72,406,8,3,285,29,16,30,0.533,26,52,0.5,0.512,18,26,0.692
